MEAN£¨ÈË¿ÚÃÜ¶È£©,rate
877.95,0.0000320080 
984.47,0.0000358915 
1047.05,0.0000381733 
1367.07,0.0000498403 
1512.61,0.0000551465 
1472.40,0.0000536807 
802.96,0.0000292744 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
800.85,0.0000291972 
1139.39,0.0000415396 
1139.39,0.0000415396 
1139.39,0.0000415396 
1221.95,0.0000445498 
1352.80,0.0000493201 
1352.80,0.0000493201 
1352.80,0.0000493201 
1522.60,0.0000555108 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1521.84,0.0000554831 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1173.30,0.0000427761 
2368.14,0.0000863374 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2037.10,0.0000742685 
1704.20,0.0000621315 
2003.40,0.0000730396 
2387.16,0.0000870308 
2355.58,0.0000858795 
797.56,0.0000290775 
825.41,0.0000300928 
898.67,0.0000327635 
972.00,0.0000354371 
1020.94,0.0000372214 
1103.03,0.0000402142 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1191.26,0.0000434308 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
1019.27,0.0000371604 
1047.05,0.0000381733 
1302.63,0.0000474910 
1504.24,0.0000548413 
1384.08,0.0000504605 
1027.47,0.0000374595 
757.66,0.0000276225 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
896.10,0.0000326697 
1139.39,0.0000415396 
1139.39,0.0000415396 
1139.39,0.0000415396 
1194.00,0.0000435307 
1352.80,0.0000493201 
1352.80,0.0000493201 
1387.93,0.0000506009 
1522.60,0.0000555108 
1522.60,0.0000555108 
1522.60,0.0000555108 
1522.60,0.0000555108 
1488.04,0.0000542507 
42.15,0.0000015367 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
22.15,0.0000008074 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1095.19,0.0000399284 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2387.16,0.0000870308 
2037.10,0.0000742685 
1704.20,0.0000621315 
2003.40,0.0000730396 
2387.16,0.0000870308 
2355.58,0.0000858795 
1917.29,0.0000699004 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1047.84,0.0000382021 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
886.51,0.0000323204 
1045.50,0.0000381169 
1047.05,0.0000381733 
1058.82,0.0000386021 
1076.92,0.0000392622 
1259.97,0.0000459357 
1259.97,0.0000459357 
1240.42,0.0000452230 
835.95,0.0000304769 
517.24,0.0000188575 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
429.21,0.0000156482 
743.56,0.0000271085 
360.04,0.0000131262 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
